"","ecoregion_name","code","biome","long","lat","sec_type","value","pri_type"
"167","South American Pacific mangroves","NT1405","Mangroves",-79.27,1.735,"bird_num",87,"Species Data"
"168","Southern Atlantic mangroves","NT1406","Mangroves",-41.581,-17.274,"bird_num",75,"Species Data"
"169","Southern Mesoamerican Pacific mangroves","NT1407","Mangroves",-86.515,11.375,"bird_num",92,"Species Data"
"170","Araucaria moist forests","NT0101","Tropical Moist Forest",-51.389,-26.527,"mammal_num",141,"Species Data"
"171","Atlantic Coast restingas","NT0102","Tropical Moist Forest",-43.734,-21.203,"mammal_num",196,"Species Data"
"172","Bahia coastal forests","NT0103","Tropical Moist Forest",-40.086,-16.613,"mammal_num",166,"Species Data"
"173","Bahia interior forests","NT0104","Tropical Moist Forest",-42.018,-17.73,"mammal_num",182,"Species Data"
"174","Bolivian Yungas","NT0105","Tropical Moist Forest",-66.877,-15.85,"mammal_num",245,"Species Data"
"175","Caatinga Enclaves moist forests","NT0106","Tropical Moist Forest",-40.179,-4.357,"mammal_num",124,"Species Data"
"176","Caqueta moist forests","NT0107","Tropical Moist Forest",-71.969,0.781,"mammal_num",193,"Species Data"
"177","Catatumbo moist forests","NT0108","Tropical Moist Forest",-71.871,9.216,"mammal_num",205,"Species Data"
"178","Cauca Valley montane forests","NT0109","Tropical Moist Forest",-75.962,4.992,"mammal_num",201,"Species Data"
"179","Central American Atlantic moist forests","NT0111","Tropical Moist Forest",-86.13,14.521,"mammal_num",172,"Species Data"
"180","Central American montane forests","NT0112","Tropical Moist Forest",-87.872,14.437,"mammal_num",191,"Species Data"
"181","Chiapas montane forests","NT0113","Tropical Moist Forest",-91.91,16.77,"mammal_num",163,"Species Data"
"182","Chimalapas montane forests","NT0114","Tropical Moist Forest",-94.15,16.55,"mammal_num",145,"Species Data"
"183","Choco-Darien moist forests","NT0115","Tropical Moist Forest",-77.515,5.613,"mammal_num",215,"Species Data"
"184","Cordillera La Costa montane forests","NT0117","Tropical Moist Forest",-66.071,10.179,"mammal_num",194,"Species Data"
"185","Cordillera Oriental montane forests","NT0118","Tropical Moist Forest",-73.48,5.782,"mammal_num",254,"Species Data"
"186","Costa Rican seasonal moist forests","NT0119","Tropical Moist Forest",-85.146,10.854,"mammal_num",186,"Species Data"
"187","Cuban moist forests","NT0120","Tropical Moist Forest",-79.12,21.665,"mammal_num",33,"Species Data"
"188","Eastern Cordillera real montane forests","NT0121","Tropical Moist Forest",-78.414,-2.586,"mammal_num",238,"Species Data"
"189","Eastern Panamanian montane forests","NT0122","Tropical Moist Forest",-78.075,8.25,"mammal_num",198,"Species Data"
"190","Guianan Highlands moist forests","NT0124","Tropical Moist Forest",-61.734,4.289,"mammal_num",237,"Species Data"
"191","Guianan moist forests","NT0125","Tropical Moist Forest",-56.817,4.378,"mammal_num",215,"Species Data"
"192","Gurupa varzea","NT0126","Tropical Moist Forest",-53.987,-2.066,"mammal_num",174,"Species Data"
"193","Hispaniolan moist forests","NT0127","Tropical Moist Forest",-71.44,18.833,"mammal_num",20,"Species Data"
"194","Iquitos varzea","NT0128","Tropical Moist Forest",-74.151,-5.295,"mammal_num",255,"Species Data"
"195","Isthmian-Atlantic moist forests","NT0129","Tropical Moist Forest",-82.24,9.934,"mammal_num",217,"Species Data"
"196","Isthmian-Pacific moist forests","NT0130","Tropical Moist Forest",-81.962,8.558,"mammal_num",190,"Species Data"
"197","Jamaican moist forests","NT0131","Tropical Moist Forest",-77.25,18.25,"mammal_num",21,"Species Data"
