"","code","mad_prec","mad_temp","max_prec","max_temp","max3m_prec","max3m_temp","med_temp","min_prec","min_temp","min3m_prec","min3m_temp","tot_prec","areakm2","long","lat","elev","rain_south","rain_west","temp_south","temp_west","patch_num","mad_elev","ecoregion_name","biome","bird_num","mammal_num","reptile_num","amphibian_num","total_num"
"63","NT0166",114.08607,0.44478,288.8,26.3,835.2,26.2,25.9,63.8,24.3,220.25,24.66666667,2168.5,746653,-69.77,-10.023,358.87,270.04,73.82,25.67,24.02,5,84.5082,"Southwest Amazon moist forests","Tropical Moist Forest",782,303,228,173,1486
"64","NT0167",163.23426,0.59304,472.9,20.7,1220.9,20.56666667,20.2,75.9,18.9,262.7,19.03333333,3281.5,16274,-82.88,9.293,596.04,314.08,124.47,23.98,23.21,13,656.7918,"Talamancan montane forests","Tropical Moist Forest",450,204,132,124,910
"65","NT0168",149.07543,0.51891,335.1,26.5,944,26.43333333,25.8,27,25.2,121.3,25.36666667,2164.9,335099,-54.444,-5.968,201.82,277.84,61.64,25.84,25.79,1,148.26,"Tapajos-Xingu moist forests","Tropical Moist Forest",556,179,113,58,906
"66","NT0169",201.11469,0.44478,460.8,21,1317.9,20.83333333,20.2,60.3,19.7,214.6,19.86666667,2978.8,50675,-64.172,4.638,761.13,400.94,92.74,22.7,23.55,56,535.9599,"Pantepuis","Tropical Moist Forest",628,215,24,62,929
"67","NT0170",128.800875,0.37065,391.45,27.3,1110.75,27.23333333,26.65,37.2,26.2,130.6,26.33333333,2238.25,192766,-47.375,-3.077,79.7,277.38,91.33,26.65,26.63,2,54.8562,"Tocantins/Pindare moist forests","Tropical Moist Forest",517,164,152,35,868
"68","NT0171",102.410595,0.44478,271.3,26.8,774.35,26.65,26.375,54.55,24.95,192,25.16666667,2068.1,4722,-61.375,10.375,98.5,228.8,88.21,26.43,25.31,2,39.2889,"Trinidad and Tobago moist forests","Tropical Moist Forest",308,36,11,2,357
"69","NT0173",118.53387,0.51891,328.9,27.8,900.7,27.53333333,26.4,59.7,25.9,208.3,26,2140.6,470048,-56.78,-0.333,129.01,203.99,147.22,26.44,26.53,3,96.369,"Uatuma-Trombetas moist forests","Tropical Moist Forest",482,207,159,96,944
"70","NT0174",49.96362,0.44478,245.2,25.9,665.8,25.8,25.4,96.2,24.2,315.7,24.5,2168.6,114443,-76.047,-7.326,766.71,203.3,83.79,24.1,23.46,3,303.933,"Ucayali moist forests","Tropical Moist Forest",603,237,139,123,1102
"71","NT0175",51.1497,0.37065,164.6,21.7,441.3,21.6,21.15,24.6,20,91.9,20.43333333,1147.6,29269,-70.663,8.946,868.57,152.64,43.1,23.38,22.92,1,901.4208,"Venezuelan Andes montane forests","Tropical Moist Forest",473,225,33,60,791
"72","NT0176",59.304,4.00302,267.15,28.2,613.1,27.93333333,25,21.95,18.25,76.9,19.16666667,1258.1,68946,-98.293,21.946,502.89,163.38,32.89,26.46,18.44,2,155.673,"Veracruz moist forests","Tropical Moist Forest",341,149,145,60,695
"73","NT0177",78.13302,3.150525,391.35,23.1,972.85,22.76666667,20.475,43.55,15.25,142,15.93333333,1903.1,4942,-98.25,20.5,1248.88,227.97,44.58,21.76,16.07,1,317.2764,"Veracruz montane forests","Tropical Moist Forest",328,128,48,27,531
"74","NT0178",102.89244,0.7413,386.35,25.6,1073.3,25.5,24.7,37.05,24,134.5,24.06666667,2060,33954,-79.5,-0.712,411.35,195.27,122.88,24.46,23.8,1,133.434,"Western Ecuador moist forests","Tropical Moist Forest",490,151,144,87,872
"75","NT0179",110.23131,0.96369,308.6,26.2,861.3,26.13333333,25.65,97,23.9,311.3,24.16666667,2447.4,2014,-61.25,10.75,157,224.53,88.38,26.2,24.98,5,186.0663,"Windward Islands moist forests","Tropical Moist Forest",158,19,45,6,228
