measure,type,code
13.973505,mad.prec,NT1010
6.857025,mad.prec,NT1201
55.30098,mad.prec,NT1301
0.22239,mad.prec,NT1303
46.33125,mad.prec,NT1304
78.614865,mad.prec,NT1305
58.11792,mad.prec,NT1306
26.16789,mad.prec,NT1307
64.71549,mad.prec,NT1308
97.1103,mad.prec,NT1309
100.038435,mad.prec,NT1312
34.32219,mad.prec,NT1313
15.5673,mad.prec,NT1314
0.37065,mad.prec,NT1315
54.226095,mad.prec,NT1316
93.366735,mad.prec,NT1401
70.72002,mad.prec,NT1402
75.31608,mad.prec,NT1403
22.869105,mad.prec,NT1404
74.13,mad.prec,NT1405
71.83197,mad.prec,NT1406
162.71535,mad.prec,NT1407
1699.4,tot.prec,NT0101
1215.5,tot.prec,NT0102
1238.9,tot.prec,NT0103
1175.1,tot.prec,NT0104
1516.3,tot.prec,NT0105
1109.15,tot.prec,NT0106
2829.8,tot.prec,NT0107
1982.2,tot.prec,NT0108
2247.7,tot.prec,NT0109
2428.4,tot.prec,NT0111
1741.4,tot.prec,NT0112
1837.8,tot.prec,NT0113
927.1,tot.prec,NT0114
3925.5,tot.prec,NT0115
1271,tot.prec,NT0117
1681.5,tot.prec,NT0118
2094.05,tot.prec,NT0119
1393.2,tot.prec,NT0120
1094.55,tot.prec,NT0121
3018.9,tot.prec,NT0122
2908.3,tot.prec,NT0124
2391.9,tot.prec,NT0125
2044.95,tot.prec,NT0126
1600.4,tot.prec,NT0127
2256.25,tot.prec,NT0128
2837.3,tot.prec,NT0129
2467.4,tot.prec,NT0130
1945.55,tot.prec,NT0131
2555.8,tot.prec,NT0132
2453.75,tot.prec,NT0133
2574.1,tot.prec,NT0134
2197.05,tot.prec,NT0135
1982.4,tot.prec,NT0136
2244.55,tot.prec,NT0137
2548,tot.prec,NT0138
1540.9,tot.prec,NT0139
2053.2,tot.prec,NT0140
2251.6,tot.prec,NT0141
2878,tot.prec,NT0142
2875.2,tot.prec,NT0143
1559,tot.prec,NT0144
2421,tot.prec,NT0145
1653,tot.prec,NT0146
1745.75,tot.prec,NT0147
2009.1,tot.prec,NT0148
2141.85,tot.prec,NT0149
1541.95,tot.prec,NT0150
1484.55,tot.prec,NT0151
1144.4,tot.prec,NT0152
892.8,tot.prec,NT0153
2173.15,tot.prec,NT0154
1890.1,tot.prec,NT0155
2482.45,tot.prec,NT0156
2271,tot.prec,NT0157
2684.75,tot.prec,NT0158
1861.55,tot.prec,NT0159
1528.1,tot.prec,NT0160
2088.8,tot.prec,NT0161
2345.05,tot.prec,NT0162
3039.35,tot.prec,NT0163
1407.5,tot.prec,NT0164
732.3,tot.prec,NT0165
2168.5,tot.prec,NT0166
3281.5,tot.prec,NT0167
2164.9,tot.prec,NT0168
2978.8,tot.prec,NT0169
2238.25,tot.prec,NT0170
2068.1,tot.prec,NT0171
2140.6,tot.prec,NT0173
2168.6,tot.prec,NT0174
1147.6,tot.prec,NT0175
1258.1,tot.prec,NT0176
1903.1,tot.prec,NT0177
2060,tot.prec,NT0178
